<DATE>	<BALANCE>	<EQUITY>	<DEPOSIT LOAD>
2022.10.06 10:52	10622.00	10622.00	0.0000
2022.10.13 14:13	10584.00	10630.00	1.8819
2022.10.13 14:13	10584.00	10596.00	0.0000
2022.10.13 14:14	10584.00	10584.00	0.0000
2022.10.13 14:58	10586.00	10614.00	1.8848
2022.10.13 14:59	10586.00	10586.00	0.0000
2022.10.18 10:01	10611.00	10546.00	0.0000
2022.10.18 10:03	10611.00	10626.00	1.8826
2022.10.18 10:04	10611.00	10637.00	0.9403
2022.10.18 10:05	10612.00	10615.00	0.9423
2022.10.18 10:08	10612.00	10647.00	0.9394
2022.10.18 10:10	10612.00	10612.00	0.0000
2022.10.18 10:14	10570.00	10624.00	1.8830
2022.10.18 10:14	10570.00	10574.00	0.0000
2022.10.18 10:15	10570.00	10570.00	0.0000
2022.10.18 16:43	10780.00	10752.00	1.8606
2022.10.18 16:59	10780.00	10780.00	0.0000
2022.10.19 10:12	10674.00	10788.00	1.8544
2022.10.19 10:14	10674.00	10684.00	0.0000
2022.10.19 10:26	10674.00	10674.00	0.0000
2022.10.21 15:18	10634.00	10634.00	0.0000
2022.10.21 16:05	10646.00	10620.00	0.0000
2022.10.21 16:06	10646.00	10652.00	1.8781
2022.10.21 16:07	10646.00	10668.00	0.9376
2022.10.21 16:08	10715.00	10663.00	0.9380
2022.10.21 16:11	10715.00	10710.00	0.9339
2022.10.21 16:12	10715.00	10715.00	0.0000
2022.10.27 14:01	10729.00	10737.00	1.8632
2022.10.27 14:02	10729.00	10673.00	0.0000
2022.10.27 14:04	10729.00	10744.00	0.9309
2022.10.27 14:05	10812.00	10734.00	0.9318
2022.10.27 14:20	10812.00	10806.00	0.9256
2022.10.27 14:21	10812.00	10812.00	0.0000
2022.10.31 15:26	10833.00	10828.00	1.8475
2022.10.31 15:31	10833.00	10754.00	0.0000
2022.10.31 15:36	10833.00	10860.00	0.9210
2022.10.31 15:37	10956.00	10841.00	0.9226
2022.10.31 15:37	10956.00	10941.00	0.9142
2022.10.31 15:39	10956.00	10956.00	0.0000
2022.11.01 12:55	10979.00	10944.00	0.0000
2022.11.01 12:55	10979.00	10992.00	1.8200
2022.11.01 12:56	10979.00	11009.00	0.9085
2022.11.01 12:57	10980.00	11003.00	0.9090
2022.11.01 12:57	10980.00	11023.00	0.9074
2022.11.01 12:57	10980.00	10980.00	0.0000
2022.11.03 15:47	11000.00	11002.00	1.8183
2022.11.03 15:48	11000.00	10950.00	0.0000
2022.11.03 15:50	11000.00	11024.00	0.9073
2022.11.03 15:50	11001.00	11017.00	0.9079
2022.11.03 15:51	11001.00	11001.00	0.0000
2022.11.14 13:14	10969.00	11013.00	1.8165
2022.11.14 13:15	10969.00	10969.00	0.0000
2022.11.14 15:53	10971.00	11043.00	1.8116
2022.11.14 15:56	10971.00	10971.00	0.0000
2022.11.21 10:41	10973.00	11085.00	1.8047
2022.11.21 10:42	10973.00	10973.00	0.0000
2022.12.02 11:52	10999.00	10929.00	0.0000
2022.12.02 11:52	10999.00	10997.00	1.8191
2022.12.02 11:53	10999.00	11047.00	0.9054
2022.12.02 11:59	11000.00	11113.00	0.9000
2022.12.02 12:03	11000.00	11022.00	0.9075
2022.12.02 12:04	11000.00	11000.00	0.0000
2022.12.02 14:14	11002.00	11026.00	1.8143
2022.12.02 14:15	11002.00	11002.00	0.0000
2022.12.09 12:40	11025.00	10994.00	0.0000
